Source_Aggregator,Transaction_ID,User_ID,Transaction_Date,Service_Provider,Amount,Status,Access_Source,Is_Retry,Retry_Count,Original_Transaction_ID
EPA,EPA202502010000006323,user_02521,2/1/2025 0:00,ikeja-electric,2875,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-847BEA72,user_04287,2/1/2025 0:00,eko-electric,300000,SUCCESS,mobile_app,No,0,
UHS,UHS-DC826412-01022025,user_04172,2/1/2025 0:00,eko-electric,2500,SUCCESS,browser,No,0,
PPA,PPA-20250201-C7263A8B,user_02870,2/1/2025 0:00,abuja-electric,5000,REVERSED,browser,No,0,
BCT,BCT250201759680,user_01139,2/1/2025 0:00,ikeja-electric,150000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-56962886,user_04288,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-E9DBDD92,user_00876,2/1/2025 0:00,abuja-electric,1000,SUCCESSFUL,browser,No,0,
BCT,BCT2502014A6CD8,user_03958,2/1/2025 0:00,portharcourt-electric,50000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-524997FF,user_03296,2/1/2025 0:00,enugu-electric,2328,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-8B2112F1,user_04054,2/1/2025 0:00,ikeja-electric,100000,SUCCESS,mobile_app,No,0,
BCT,BCT25020133E3DC,user_01573,2/1/2025 0:00,enugu-electric,1373,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-69F289F1,user_03020,2/1/2025 0:00,ikeja-electric,3750,SUCCESS,api,No,0,
PPA,PPA-20250201-BCB35A0A,user_01907,2/1/2025 0:00,portharcourt-electric,1000,COMPLETED,browser,No,0,
EPA,EPA20250201000000BB2A,user_01466,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,browser,No,0,
BCT,BCT250201103A70,user_03625,2/1/2025 0:00,benin-electric,2000,SUCCESSFUL,mobile_app,No,0,
BCT,BCT250201910B64,user_04000,2/1/2025 0:00,abuja-electric,2500,DECLINED,browser,No,0,
PPA,PPA-20250201-1787D64D,user_04452,2/1/2025 0:00,enugu-electric,2000,COMPLETED,api,No,0,
EPA,EPA20250201000000A5E7,user_04460,2/1/2025 0:00,portharcourt-electric,50000,SUCCESS,browser,No,0,
PPA,PPA-20250201-493D5978,user_01069,2/1/2025 0:00,abuja-electric,1500,COMPLETED,mobile_app,No,0,
EPA,EPA20250201000000AC55,user_03433,2/1/2025 0:00,eko-electric,2000,COMPLETED,browser,No,0,
BCT,BCT250201F3F32C,user_04407,2/1/2025 0:00,eko-electric,5000,SUCCESS,browser,No,0,
UHS,UHS-AD144EE5-01022025,user_00152,2/1/2025 0:00,benin-electric,3000,SUCCESSFUL,browser,No,0,
EPA,EPA202502010000003626,user_03748,2/1/2025 0:00,ibadan-electric,1096,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-AF5354EE,user_02406,2/1/2025 0:00,portharcourt-electric,78000,FAILED,browser,No,0,
BCT,BCT250201C1765F,user_01554,2/1/2025 0:00,abuja-electric,1000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-8DD68C4C,user_01227,2/1/2025 0:00,jos-electric,2000,COMPLETED,browser,No,0,
PPA,PPA-20250201-EB62C53F,user_04300,2/1/2025 0:00,abuja-electric,1000,COMPLETED,browser,No,0,
PPA,PPA-20250201-2F36EF8E,user_03600,2/1/2025 0:00,abuja-electric,2000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-39C988C2,user_04111,2/1/2025 0:00,enugu-electric,35000,SUCCESS,browser,No,0,
PPA,PPA-20250201-1B9326B0,user_03346,2/1/2025 0:00,abuja-electric,54000,REVERSED,mobile_app,No,0,
PPA,PPA-20250201-E469FB0A,user_04481,2/1/2025 0:00,ikeja-electric,25000,COMPLETED,browser,No,0,
BCT,BCT250201D2BFFD,user_00918,2/1/2025 0:00,ikeja-electric,10000,SUCCESS,browser,No,0,
PPA,PPA-20250201-291FB541,user_04232,2/1/2025 0:00,ikeja-electric,1000,COMPLETED,browser,No,0,
PPA,PPA-20250201-0C559CA1,user_00219,2/1/2025 0:00,ibadan-electric,2000,SUCCESS,browser,No,0,
BCT,BCT25020114128D,user_02491,2/1/2025 0:00,abuja-electric,40000,COMPLETED,browser,No,0,
PPA,PPA-20250201-E6F0D00C,user_04291,2/1/2025 0:00,ikeja-electric,1500,SUCCESS,mobile_app,No,0,
BCT,BCT2502017B6EE7,user_02858,2/1/2025 0:00,eko-electric,1250,COMPLETED,browser,No,0,
PPA,PPA-20250201-5B1B586D,user_00101,2/1/2025 0:00,abuja-electric,10000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-61840F33,user_02028,2/1/2025 0:00,ikeja-electric,58000,SUCCESS,browser,No,0,
BCT,BCT250201720DAA,user_03003,2/1/2025 0:00,enugu-electric,2000,SUCCESSFUL,browser,No,0,
BCT,BCT25020192BA35,user_01644,2/1/2025 0:00,abuja-electric,3750,COMPLETED,browser,No,0,
BCT,BCT250201F39E7D,user_01843,2/1/2025 0:00,abuja-electric,90000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-5C9BE385,user_03508,2/1/2025 0:00,kaduna-electric,3750,SUCCESSFUL,mobile_app,No,0,
BCT,BCT250201857F63,user_04079,2/1/2025 0:00,eko-electric,1500,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-24B28333,user_01335,2/1/2025 0:00,benin-electric,1988,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-93606340,user_00763,2/1/2025 0:00,ikeja-electric,1500,COMPLETED,browser,No,0,
BCT,BCT250201C2549F,user_02588,2/1/2025 0:00,portharcourt-electric,25000,SUCCESS,browser,No,0,
BCT,BCT250201BEF467,user_03181,2/1/2025 0:00,abuja-electric,1000,SUCCESS,browser,No,0,
PPA,PPA-20250201-96E97D51,user_00146,2/1/2025 0:00,ikeja-electric,1042,SUCCESS,mobile_app,No,0,
BCT,BCT250201548945,user_03045,2/1/2025 0:00,portharcourt-electric,1250,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-8BCDC1DC,user_01318,2/1/2025 0:00,abuja-electric,200000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-D962F6C8,user_00476,2/1/2025 0:00,portharcourt-electric,1500,COMPLETED,browser,No,0,
PPA,PPA-20250201-C053B0BD,user_04446,2/1/2025 0:00,eko-electric,3000,SUCCESS,browser,No,0,
BCT,BCT250201EB129E,user_01135,2/1/2025 0:00,ibadan-electric,88000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-09D78D09,user_03394,2/1/2025 0:00,abuja-electric,1000,SUCCESSFUL,browser,No,0,
EPA,EPA202502010000009C22,user_03640,2/1/2025 0:00,eko-electric,3000,SUCCESSFUL,browser,No,0,
BCT,BCT250201B0E62F,user_02944,2/1/2025 0:00,ikeja-electric,2000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-29BB66CE,user_03280,2/1/2025 0:00,ikeja-electric,1500,COMPLETED,browser,No,0,
PPA,PPA-20250201-FCD790AD,user_03332,2/1/2025 0:00,eko-electric,1500,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-24C31C91,user_03604,2/1/2025 0:00,abuja-electric,1500,SUCCESS,mobile_app,No,0,
UHS,UHS-FC0E3056-01022025,user_01512,2/1/2025 0:00,abuja-electric,1500,FAILED,mobile_app,No,0,
EPA,EPA202502010000004F55,user_02382,2/1/2025 0:00,portharcourt-electric,1000,SUCCESS,browser,No,0,
PPA,PPA-20250201-02E831E5,user_03605,2/1/2025 0:00,abuja-electric,80000,SUCCESS,browser,No,0,
BCT,BCT2502013AB628,user_02727,2/1/2025 0:00,abuja-electric,1000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-1609EBA7,user_00312,2/1/2025 0:00,eko-electric,2000,SUCCESSFUL,browser,No,0,
BCT,BCT250201B06E59,user_03571,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-F8F5F554,user_01179,2/1/2025 0:00,portharcourt-electric,5000,SUCCESS,browser,No,0,
BCT,BCT2502016CB62E,user_01451,2/1/2025 0:00,portharcourt-electric,1000,SUCCESS,mobile_app,No,0,
BCT,BCT250201DBAB7D,user_03912,2/1/2025 0:00,eko-electric,75000,COMPLETED,browser,No,0,
PPA,PPA-20250201-C0F210A0,user_02709,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-82B87162,user_00824,2/1/2025 0:00,abuja-electric,28000,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-E55838FF,user_02571,2/1/2025 0:00,ikeja-electric,2000,COMPLETED,api,No,0,
PPA,PPA-20250201-1B15055D,user_03234,2/1/2025 0:00,enugu-electric,1000,SUCCESSFUL,api,No,0,
BCT,BCT250201CCC417,user_00072,2/1/2025 0:00,ikeja-electric,3000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-2311A6D7,user_02262,2/1/2025 0:00,ikeja-electric,1000,SUCCESS,browser,No,0,
BCT,BCT2502018B67BD,user_02638,2/1/2025 0:00,abuja-electric,1500,SUCCESS,browser,No,0,
BCT,BCT250201BA744D,user_00686,2/1/2025 0:00,ikeja-electric,20000,SUCCESS,browser,No,0,
PPA,PPA-20250201-F52CA298,user_00303,2/1/2025 0:00,eko-electric,2000,SUCCESSFUL,browser,No,0,
BCT,BCT2502017634E4,user_00916,2/1/2025 0:00,abuja-electric,1500,REJECTED,browser,No,0,
PPA,PPA-20250201-94D52B30,user_01759,2/1/2025 0:00,jos-electric,10000,SUCCESS,browser,No,0,
BCT,BCT250201807804,user_01735,2/1/2025 0:00,abuja-electric,3750,SUCCESSFUL,mobile_app,No,0,
EPA,EPA202502010000000DC0,user_02749,2/1/2025 0:00,ikeja-electric,1750,COMPLETED,browser,No,0,
PPA,PPA-20250201-1B59C172,user_04006,2/1/2025 0:00,abuja-electric,1000,COMPLETED,mobile_app,No,0,
BCT,BCT250201497073,user_00593,2/1/2025 0:00,eko-electric,5000,SUCCESSFUL,browser,No,0,
EPA,EPA202502010000001F8F,user_00245,2/1/2025 0:00,portharcourt-electric,5000,SUCCESSFUL,mobile_app,No,0,
BCT,BCT250201992944,user_02337,2/1/2025 0:00,abuja-electric,3750,COMPLETED,browser,No,0,
PPA,PPA-20250201-24ADFF59,user_01476,2/1/2025 0:00,ibadan-electric,3875,COMPLETED,browser,No,0,
EPA,EPA20250201000000BC17,user_01667,2/1/2025 0:00,portharcourt-electric,80000,SUCCESS,mobile_app,No,0,
BCT,BCT2502012A3D5F,user_00916,2/1/2025 0:00,abuja-electric,2000,SUCCESSFUL,browser,No,0,
BCT,BCT25020169F9E3,user_02951,2/1/2025 0:00,benin-electric,72000,COMPLETED,browser,No,0,
EPA,EPA202502010000005675,user_00989,2/1/2025 0:00,ikeja-electric,1000,COMPLETED,api,No,0,
PPA,PPA-20250201-003AA425,user_03813,2/1/2025 0:00,enugu-electric,1000,SUCCESSFUL,browser,No,0,
EPA,EPA202502010000006875,user_01520,2/1/2025 0:00,abuja-electric,1000,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-51827988,user_03757,2/1/2025 0:00,abuja-electric,1250,COMPLETED,browser,No,0,
PPA,PPA-20250201-D6931847,user_00719,2/1/2025 0:00,ikeja-electric,30000,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-B91CA78D,user_00180,2/1/2025 0:00,enugu-electric,2000,COMPLETED,api,No,0,
PPA,PPA-20250201-F57C198D,user_03889,2/1/2025 0:00,enugu-electric,3000,SUCCESS,browser,No,0,
BCT,BCT250201DF4A0C,user_00530,2/1/2025 0:00,ibadan-electric,5000,SUCCESSFUL,mobile_app,No,0,
EPA,EPA202502010000004C7E,user_02088,2/1/2025 0:00,enugu-electric,1000,SUCCESSFUL,browser,No,0,
BCT,BCT250201120083,user_04228,2/1/2025 0:00,ikeja-electric,10000,COMPLETED,mobile_app,No,0,
BCT,BCT25020176202E,user_00139,2/1/2025 0:00,benin-electric,30000,COMPLETED,browser,No,0,
EPA,EPA202502010000003AFA,user_00220,2/1/2025 0:00,enugu-electric,2000,SUCCESS,browser,No,0,
PPA,PPA-20250201-669D1B62,user_02008,2/1/2025 0:00,ikeja-electric,1000,SUCCESS,browser,No,0,
PPA,PPA-20250201-6E10A6D8,user_04002,2/1/2025 0:00,ikeja-electric,1000,SUCCESS,mobile_app,No,0,
EPA,EPA202502010000001116,user_03629,2/1/2025 0:00,abuja-electric,1750,REJECTED,browser,No,0,
BCT,BCT250201F431CD,user_01098,2/1/2025 0:00,eko-electric,1250,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-C796BF25,user_03497,2/1/2025 0:00,abuja-electric,1000,FAILED,api,No,0,
BCT,BCT2502013166C8,user_01087,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,mobile_app,No,0,
UHS,UHS-FA2CD964-01022025,user_01754,2/1/2025 0:00,ikeja-electric,3000,SUCCESS,mobile_app,No,0,
EPA,EPA20250201000000CC7D,user_01419,2/1/2025 0:00,ikeja-electric,1000,COMPLETED,api,No,0,
BCT,BCT250201524255,user_02501,2/1/2025 0:00,eko-electric,61000,SUCCESS,browser,No,0,
PPA,PPA-20250201-A8710F0C,user_00286,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,mobile_app,No,0,
EPA,EPA2025020100000065A9,user_03645,2/1/2025 0:00,portharcourt-electric,20000,SUCCESSFUL,browser,No,0,
BCT,BCT250201A04A4E,user_00319,2/1/2025 0:00,portharcourt-electric,2000,SUCCESSFUL,browser,No,0,
BCT,BCT25020161C633,user_03169,2/1/2025 0:00,abuja-electric,1291,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-63BC3A07,user_01234,2/1/2025 0:00,abuja-electric,1250,SUCCESS,mobile_app,No,0,
BCT,BCT250201C75854,user_02519,2/1/2025 0:00,abuja-electric,34000,SUCCESS,browser,No,0,
PPA,PPA-20250201-641C055D,user_00930,2/1/2025 0:00,ikeja-electric,1000,COMPLETED,browser,No,0,
BCT,BCT250201D14E8F,user_03888,2/1/2025 0:00,ikeja-electric,2000,CANCELLED,browser,No,0,
PPA,PPA-20250201-CB3300A0,user_03018,2/1/2025 0:00,aba-electric,150000,SUCCESS,browser,No,0,
PPA,PPA-20250201-7D89C341,user_01353,2/1/2025 0:00,eko-electric,86000,SUCCESS,browser,No,0,
BCT,BCT2502015ABDF4,user_02033,2/1/2025 0:00,eko-electric,200000,COMPLETED,browser,No,0,
PPA,PPA-20250201-18B73DA8,user_02703,2/1/2025 0:00,abuja-electric,1500,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-0564AD61,user_00183,2/1/2025 0:00,abuja-electric,10000,SUCCESS,browser,No,0,
BCT,BCT2502017E896E,user_04417,2/1/2025 0:00,abuja-electric,3000,SUCCESS,mobile_app,No,0,
BCT,BCT250201063B46,user_00905,2/1/2025 0:00,abuja-electric,300000,SUCCESSFUL,browser,No,0,
BCT,BCT2502014A7BE5,user_00604,2/1/2025 0:00,ikeja-electric,5000,COMPLETED,browser,No,0,
PPA,PPA-20250201-BF1BC7F1,user_04365,2/1/2025 0:00,enugu-electric,1000,COMPLETED,mobile_app,No,0,
EPA,EPA20250201000000474C,user_03951,2/1/2025 0:00,abuja-electric,10000,SUCCESS,browser,No,0,
BCT,BCT250201432476,user_00135,2/1/2025 0:00,ikeja-electric,1000,COMPLETED,browser,No,0,
EPA,EPA202502010000006C93,user_02118,2/1/2025 0:00,abuja-electric,1000,FAILED,browser,No,0,
PPA,PPA-20250201-85A7D4F4,user_03786,2/1/2025 0:00,portharcourt-electric,1382,SUCCESSFUL,browser,No,0,
BCT,BCT25020117F40C,user_03057,2/1/2025 0:00,abuja-electric,1000,COMPLETED,mobile_app,No,0,
BCT,BCT250201189DE1,user_00584,2/1/2025 0:00,portharcourt-electric,1500,SUCCESS,browser,No,0,
PPA,PPA-20250201-83529D16,user_04358,2/1/2025 0:00,abuja-electric,1500,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-C322C523,user_04322,2/1/2025 0:00,ikeja-electric,20000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-BBB7BA1D,user_00197,2/1/2025 0:00,eko-electric,90000,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-E9165D92,user_04378,2/1/2025 0:00,eko-electric,2000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-7F381908,user_01582,2/1/2025 0:00,abuja-electric,2000,SUCCESS,browser,No,0,
EPA,EPA202502010000002060,user_00098,2/1/2025 0:00,abuja-electric,50000,COMPLETED,browser,No,0,
PPA,PPA-20250201-9DBDB6B1,user_02785,2/1/2025 0:00,portharcourt-electric,5000,COMPLETED,browser,No,0,
PPA,PPA-20250201-D4AE997A,user_01090,2/1/2025 0:00,abuja-electric,2000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-A591F9FF,user_04241,2/1/2025 0:00,eko-electric,1750,REVERSED,mobile_app,No,0,
BCT,BCT250201F21DAB,user_02175,2/1/2025 0:00,abuja-electric,2000,SUCCESS,browser,No,0,
PPA,PPA-20250201-EF6AE602,user_04260,2/1/2025 0:00,ikeja-electric,3750,COMPLETED,browser,No,0,
PPA,PPA-20250201-092E6B1C,user_03480,2/1/2025 0:00,enugu-electric,9091,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-1408639A,user_03700,2/1/2025 0:00,portharcourt-electric,2000,SUCCESS,mobile_app,No,0,
EPA,EPA202502010000005F18,user_01675,2/1/2025 0:00,portharcourt-electric,48000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-684D4D46,user_01083,2/1/2025 0:00,abuja-electric,150000,COMPLETED,browser,No,0,
PPA,PPA-20250201-82512BEF,user_04126,2/1/2025 0:00,portharcourt-electric,1250,COMPLETED,browser,No,0,
BCT,BCT2502014A1D6A,user_02093,2/1/2025 0:00,abuja-electric,1000,COMPLETED,mobile_app,No,0,
BCT,BCT25020173C151,user_03713,2/1/2025 0:00,ikeja-electric,2000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-0679F04D,user_03621,2/1/2025 0:00,kano-electric,1000,COMPLETED,browser,No,0,
BCT,BCT250201454E41,user_01257,2/1/2025 0:00,portharcourt-electric,2000,SUCCESS,mobile_app,No,0,
